Username,Comment
@Aniketchauhan-g9o,One more video on squid game 😅😅
@aimal875,Nice ❤❤❤❤
@TejasviMaurya-n9e,Password 101
@GargishankarSahu,Love from chhattisgarh
@Arpgeto,"Doom machale Dhoom machale, chicken paaka le"
@Factzsez,59:59
@Factzsez,9:56
@Factzsez,6:42
@Factzsez,5:09
@Factzsez,1:00
@Factzsez,1:01
@Factzsez,2:09
@Vaibhav360-url,at 3:35 to 3:45 is so funny
@GaneshRam-e7k5b,I am here chhattisgarh
@damnjirou,3:22 : doechiiiiiiii
@NezukoGaming-x2x6q,*I am from chhattisgarh 😂😊*
@alphastavys13,2:00 bhople 😂🤣
@Arnav_PlayZ97,56l
@MohammedUmair-o8v,2:00 bhoplee
@Krishna3-h3i,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@mdshakir2551,😂 Password 😂 101😂
@jaskarangill3563,😂😂😂
@rcrahulkumar123,Password 101😂
@Shreyashkatiyar08,5:57 plot twist😢
@Hash_ai_yf,Keya video Hai yaar 😂😂😂
@TarunBarik107,Meri Kya galti thi 😢
@TarunBarik107,Aur maar bhi diaa 😤😤
@TarunBarik107,Hi Not your type my name is Tarun .are zotato ka delivery boy banadia . 😂😂
@HimachaliGrewalVlogs,Himachal❤
@jigneshvasava001,Nice yar😂😂
@Dnt7080,Netflix ka 199 wala plan he tv pe ghr pe koi dekh rha he isliye phone pe yh youtube pe dekhna pd rha he 😢
@princysahu-en8gx,"After listening chhattisgarh 
Me be like - chalo koi toh janta hai😅"
@Usachildrenshort,Mera hi naam mila tha kya (pankaj)
@anubhabkar7283,Best version of Honey Heist ❤❤😂😂
@bts_army-j5u,1:58 bhople 😂
@extraonmymail4673,Dhoom ki story 😂
@nawaparihatura,"अबे मनी हिस्ट की तरह नहीं, मनी हिस्ट की कहानी सुना रहा है 😜🤪😘😍 मैं छत्तीसगढ़ से हूं"
@Aun.Sk-s4x,1:55 😂😂
@ShaheenKhan-bu7ut,Esi hi videos banya karo 😂😂😂😂
@HarshVardhan-g7m,TIJORI PASS. 101
@gameondude8183,Koi he 2028 se🎉🎉🎉
@Akshitasrivastasva2240,Very nice siries
@Akshitasrivastasva2240,Belachao
@PankajNarah-s3m,My name is pankaj 🎉😂😢
@Yahya.Qamar.,2;28 kahe to aap ke piche daal de bohut mast chalti h bhat bhat 😂😂
@k.kbhatmajria9349,😅😅
@sohel_ahmed_rana_2,e kiya hain yaar
@arjunyadav-pf1mf,😂😂
@KrishnaYaduvanshi-r4e,Prosser 🤣🤣🤣
@HADBAC-xn3fq,Congrats bhai netflix pay aa gaye tum toh @NOTYOURTYPE
@youtubeautomation7,😂😂😂❤
@vishal_charak,😂😂
@aslambabzada5270,2:04
@royaltiger4907,Processor
@ZORO-740u,im gonna watch the real one coz this one is very funny🤣😅
@animelover-1K-1M-shorts,this is my son name .. Please  don't use pankaj name on your video . my Son really facing roasting on her school .
@animelover-1K-1M-shorts,why you use pankaj name
@YashSahu-f4u,Mai bhi hu Chhattisgarh se hu mai bhi dekhta huu ❤
@Nrayoutuber,3:22  ye konsa tarika hai darne ka 😂😂😂
@DEENTUNES-7,3:18
@MRGHOSTGAMINGPK,broooooo tu netflix pa wow
@bansisnh-vx7fx,The collab that no one expected but everyone NYT X Netflix ❤😊
@TarunkumarVishawakarma,4:36 mera name bhi TARUN hai bhai😂😂😂
@OmprakashSabar-td3kz,👍👍👍👍👍👍👍👍👍👍
@Annuurag,Bhopal or chattisgarh
@aasimansari6101,Password 101😂
@Sanjugemieg544,Nice
@shayanhayat-xu5jn,did anyone notice the sound of the gun was the gta san gun sound
@nepalisir1,Focus Karo Pankaj blue se sky blue ho gayaan bina cap k 😬
@GltrivikramTrivikram,Processor
@SandhyaKumari-sb9ug,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@sushilkumarsingh2658,101
@VegitoKingOfDragon,Original Money Heist NotYourTyps
@igame2644,Chudail ka dance thoda aur reel jaisa ho
@mdayan4821,Better story than money heist
@BADBOY-47T,Second 🥈 channel not your type 🫥😶‍🌫️
@tiger8m0t0,Thank you bro🙏
@Waleedislam-j3o,Bro graphic per kam karo thoda Baki video aapki bahut zabardast hai   waleed from pakistan
@usharawat6255,Hi
@8ddivyanshugiri420,This is money hiest the untold story
@8ddivyanshugiri420,Best collaboration ever but untold
@kartikdheevar8138,2:58 chiiii 😂😂😂😂
@MuhammadAmir-xf6we,Awesome
@ankitayadav8422,"password kitana mushkil tha.....
Army of thiefs ko bulana padega 🤔"
@PankajBafila-xd7lz,😂😂
@prateekkashyap6751,Haxab yaar.. last me twist mast the
@PilinNinggo,Zomato❌️zotato✅️
@Vish-zen.x,Kon hai 2026 se
